MONTH,SECTOR,DISTRICT,PSU,HUNIT,HHOLD,SERNO,SEX,BYEAR,BMONTH,AGE,EDU,CUEDU,P21,Q2,Q4,Q6_A,Q47,Q48,Q50,Q51,Q52,employment_status,EDU_group,PROVINCE
1,Urban,Colombo,1,2,1,2,Male,1993,4.0,29, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed,G.C.E.(A/L),Western
1,Urban,Colombo,2,8,1,2,Female,1999,11.0,23,Degree ,Other Educational Institution,Not studying,1.0,,,,,,,,Employed,Degree / Education institue,Western
1,Rural,Colombo,3,9,1,3,Male,2002,7.0,20, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed,G.C.E.(A/L),Western
1,Urban,Colombo,5,8,1,2,Male,1995,12.0,27, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed,G.C.E.(A/L),Western
1,Rural,Colombo,8,6,1,3,Male,1996,5.0,26,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed,Grade 6-10,Western
1,Rural,Colombo,8,6,1,4,Male,1998,2.0,24,Passed Grade 9,Does not attend,Not studying,1.0,,,,,,,,Employed,Grade 6-10,Western
1,Estate,Colombo,9,4,1,3,Male,1996,5.0,26,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed,Grade 6-10,Western
1,Estate,Colombo,9,4,1,4,Male,2001,6.0,21,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed,Grade 6-10,Western
1,Urban,Colombo,13,3,1,3,Male,2000,7.0,22,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed,Grade 6-10,Western
1,Urban,Colombo,13,7,1,4,Male,1999,2.0,23,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed,Grade 6-10,Western
1,Urban,Colombo,13,7,1,5,Female,2003,4.0,19,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,2.0,2.0,2.0,1.0,1.0,,1.0,,Unemployed,G.C.E.(O/L),Western
1,Urban,Colombo,16,5,1,3,Male,1993,12.0,29, Passed G.C.E.(A/L)/ H.N.C.E. ,Other Educational Institution,Currently studying/training,1.0,,,,,,,,Employed,G.C.E.(A/L),Western
1,Urban,Colombo,16,10,1,3,Male,2004,6.0,18,Passed Grade 10,Vocational / Technical Institution,Currently studying/training,1.0,,,,,,,,Employed,Grade 6-10,Western
1,Urban,Colombo,18,10,1,3,Female,2001,9.0,21, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,2.0,2.0,2.0,1.0,1.0,,1.0,,Unemployed,G.C.E.(A/L),Western
1,Urban,Colombo,19,4,1,5,Female,1997,2.0,25, Passed G.C.E.(A/L)/ H.N.C.E. ,Other Educational Institution,Currently studying/training,1.0,,,,,,,,Employed,G.C.E.(A/L),Western
2,Urban,Colombo,24,1,1,3,Female,1995,5.0,27, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed,G.C.E.(A/L),Western
2,Rural,Colombo,25,1,1,3,Male,2001,5.0,21, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,2.0,2.0,2.0,1.0,1.0,,1.0,,Unemployed,G.C.E.(A/L),Western
2,Urban,Colombo,27,3,1,3,Female,1998,10.0,24, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Currently studying/training,1.0,,,,,,,,Employed,G.C.E.(A/L),Western
2,Rural,Colombo,28,10,1,3,Male,2000,11.0,22,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed,G.C.E.(O/L),Western
2,Rural,Colombo,29,10,1,3,Male,2002,5.0,20,Passed Grade 12,Other Educational Institution,Currently studying/training,1.0,,,,,,,,Employed,G.C.E.(A/L),Western
2,Urban,Colombo,32,10,1,4,Female,2001,9.0,21, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,2.0,2.0,2.0,1.0,1.0,,1.0,,Unemployed,G.C.E.(A/L),Western
2,Urban,Colombo,34,4,1,3,Male,1997,7.0,25, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,2.0,2.0,2.0,1.0,1.0,,1.0,,Unemployed,G.C.E.(A/L),Western
2,Urban,Colombo,34,8,1,3,Female,1999,11.0,23,Degree ,Does not attend,Not studying,1.0,,,,,,,,Employed,Degree / Education institue,Western
2,Urban,Colombo,35,2,1,4,Female,1998,4.0,24,Passed Grade 12,Does not attend,Not studying,1.0,,,,,,,,Employed,G.C.E.(A/L),Western
2,Urban,Colombo,35,2,1,5,Male,1995,1.0,28,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,1.0,1.0,,1.0,,Unemployed,Grade 6-10,Western
2,Urban,Colombo,36,6,1,3,Male,2001,5.0,21,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed,G.C.E.(O/L),Western
2,Urban,Colombo,38,4,1,3,Male,1997,11.0,25, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,2.0,2.0,2.0,1.0,1.0,,1.0,,Unemployed,G.C.E.(A/L),Western
2,Urban,Colombo,38,8,1,3,Female,2000,4.0,22, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed,G.C.E.(A/L),Western
3,Urban,Colombo,42,7,1,4,Male,2005,1.0,18,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed,Grade 6-10,Western
3,Rural,Colombo,44,8,1,5,Male,1993,8.0,29,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed,Grade 6-10,Western
3,Urban,Colombo,45,3,1,5,Female,1995,8.0,27,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed,G.C.E.(O/L),Western
